Pasta	http://aims.fao.org/aos/agrovoc/c_5621.html
AgedCheese	http://aims.fao.org/aos/agrovoc/c_1507.html
FreshVegetables	http://aims.fao.org/aos/agrovoc/c_8174.html
VegetalOils	http://aims.fao.org/aos/agrovoc/c_8170.html
WaterBeverage	http://aims.fao.org/aos/agrovoc/c_10463.html
FreshStarchyVegetables	http://aims.fao.org/aos/agrovoc/c_8174.html
WheatFlour	http://aims.fao.org/aos/agrovoc/c_2988.html
FreshCulinaryErbs	http://aims.fao.org/aos/agrovoc/c_3568.html
AdultBovineFattyRedMeat	http://aims.fao.org/aos/agrovoc/c_4669.html
SweetsAndCakesMakingProducts	http://aims.fao.org/aos/agrovoc/c_1186.html
Eggs	http://aims.fao.org/aos/agrovoc/c_2502.html
FreshCheese	http://aims.fao.org/aos/agrovoc/c_1507.html
AnimalMilk	http://aims.fao.org/aos/agrovoc/c_4830.html
FreshFish	http://aims.fao.org/aos/agrovoc/c_15903.html
Wine	http://aims.fao.org/aos/agrovoc/c_248.html
FruitBasedBeverages	http://aims.fao.org/aos/agrovoc/c_3131.html
ProcessedVegetables	http://aims.fao.org/aos/agrovoc/c_8174.html
ProcessedLegumes	http://aims.fao.org/aos/agrovoc/c_4255.html
WholeWheatFlour	http://aims.fao.org/aos/agrovoc/c_2988.html
AnimalFats	http://aims.fao.org/aos/agrovoc/c_32376.html
TomatoSauces	http://aims.fao.org/aos/agrovoc/c_8174.html
Rice	http://aims.fao.org/aos/agrovoc/c_6599.html
DryCulinaryErbs	http://aims.fao.org/aos/agrovoc/c_3568.html
FrozenVegetablesAndLegumes	http://aims.fao.org/aos/agrovoc/c_4255.html
OlivesAndOliveProducts	http://aims.fao.org/aos/agrovoc/c_12926.html
FreshMushrooms	http://aims.fao.org/aos/agrovoc/c_2487.html
Spices	http://aims.fao.org/aos/agrovoc/c_15685.html
ColdCuts	http://aims.fao.org/aos/agrovoc/c_3481.html
FreshCereals	http://aims.fao.org/aos/agrovoc/c_1474.html
FreshLegumes	http://aims.fao.org/aos/agrovoc/c_4255.html
ProcessedFish	http://aims.fao.org/aos/agrovoc/c_15903.html
PoultryLeanWhiteMeat	http://aims.fao.org/aos/agrovoc/c_4669.html
PorkLeanRedMeat	http://aims.fao.org/aos/agrovoc/c_4669.html
WhiteBread	http://aims.fao.org/aos/agrovoc/c_1071.html
FreshMollusc	http://aims.fao.org/aos/agrovoc/c_4898.html
ProcessedCereals	http://aims.fao.org/aos/agrovoc/c_1474.html
PorkFattyRedMeat	http://aims.fao.org/aos/agrovoc/c_4669.html
Sausages	http://aims.fao.org/aos/agrovoc/c_6824.html
Yogurt	http://aims.fao.org/aos/agrovoc/c_4830.html
TableCream	http://aims.fao.org/aos/agrovoc/c_4830.html
RabbitLeanWhiteMeat	http://aims.fao.org/aos/agrovoc/c_4669.html
PoultryFattyWhiteMeat	http://aims.fao.org/aos/agrovoc/c_4669.html
PizzaAndFocacciaBread	http://aims.fao.org/aos/agrovoc/c_1071.html
CerealsAndGrainProducts	http://aims.fao.org/aos/agrovoc/c_1474.html
Nuts	http://aims.fao.org/aos/agrovoc/c_12873.html
MarinatedFish	http://aims.fao.org/aos/agrovoc/c_15903.html
AdultBovineLeanRedMeat	http://aims.fao.org/aos/agrovoc/c_4669.html
ProcessedMollusc	http://aims.fao.org/aos/agrovoc/c_4898.html
SugarAndSweeteners	http://aims.fao.org/aos/agrovoc/c_34338.html
FreshFruits	http://aims.fao.org/aos/agrovoc/c_3131.html
Salt	http://aims.fao.org/aos/agrovoc/c_33129.html
